genre,x,y,hex_colour
21st century classical,292,1559,#259977
432hz,303,2666,#1fa6d4
48g,365,17631,#df6842
8-bit,667,17188,#969db6
8d,280,6153,#5774ab
a cappella,581,6769,#709207
a3,405,15785,#d46d39
aarhus indie,454,8568,#99843d
aberdeen indie,367,10610,#9f8027
abstract,550,8531,#6d86b2
abstract beats,911,12785,#9b8072
abstract hip hop,899,12949,#ad7931
abstract idm,610,13571,#9986a8
abstractro,204,7190,#718ab4
accordeon,870,9162,#9b8e71
accordion,897,6941,#818d69
acid house,1102,18287,#bd7f92
acid idm,937,17176,#b486ba
acid jazz,992,15330,#ad7b57
acid rock,469,7807,#a26e2c
acid techno,1129,18670,#bf8acd
acid trance,1003,18151,#bd84be
acidcore,1013,18819,#e07bb0
acousmatic,459,2690,#407c7f
acoustic blues,1095,2513,#568d24
acoustic chill,799,5605,#4da609
acoustic guitar cover,993,6153,#60acc8
acoustic opm,650,6966,#6aa106
acoustic pop,554,8475,#7b950d
acoustic punk,729,8425,#8e8607
acoustic rock,636,7079,#898c41
action rock,190,12723,#e25121
actors,482,15937,#c96e15
adelaide indie,423,11632,#a1851d
adoracao,448,9575,#918d10
adoracion,643,11656,#9e8b17
adult standards,719,3878,#598d28
adventista,431,7596,#689e16
afghan pop,804,10256,#b77b14
afghan traditional,465,2981,#95805d
african electronic,1129,16417,#ae8b72
african experimental,561,8904,#818c9d
african gospel,838,9262,#b18309
african metal,239,13707,#d35d5a
african percussion,1144,8513,#9c7b7b
african reggae,1117,14058,#a58907
african rock,584,13510,#a78018
african-american classical,915,2563,#488f85
afrikaans,667,12257,#918d09
afrikaans folk,774,8298,#7a9615
afrikaans gospel,529,8654,#709819
afro dancehall,1045,12812,#c18206
afro house,1277,18645,#b08f96
afro psych,882,10058,#a37e3d
afro r&b,935,11987,#8d950a
afro soul,882,13804,#a7881a
afro-cuban percussion,1058,5521,#9d785a
afro-cuban traditional,1107,5832,#7e811c
afro-funk,1033,11578,#ba7b36
afrobeat,1013,9847,#a78156
afrobeat brasileiro,915,13003,#ae826d
afrobeat fusion,997,10511,#a88736
afrofuturism,843,10046,#8d804a
afrofuturismo brasileiro,1039,14332,#b28225
afropop,955,10281,#9f871a
afroswing,1078,11310,#a58f0b
aggro chileno,469,12735,#cf611c
aggrotech,561,18503,#dc686b
aghani lil-atfal,1067,9165,#848f1a
ai,365,7153,#6d8296
aikatsu,538,15937,#ba7e4d
ainu folk,917,7711,#6c9036
alabama indie,442,8941,#a17d30
alabama metal,223,13411,#dc5148
alabama rap,1073,15142,#a09203
alandsk musik,484,7794,#7d8e39
alaska indie,607,7387,#7b9218
albanian folk,434,4940,#7b8c27
albanian hip hop,1080,14548,#b1870a
albanian iso polyphony,303,958,#4d9604
albanian pop,895,13725,#b18206
albany ny indie,486,9534,#9f7f1e
alberta country,564,14005,#a78901
alberta hip hop,1076,13185,#979007
album rock,471,8855,#ac711d
albuquerque indie,610,10945,#94842d
algerian folk,713,4384,#858b24
alphorn,529,5956,#64a39c
alpine yodeling,736,12195,#ad7a0b
alt z,781,12157,#8b9406
alt-idol,461,17227,#de6b1e
alte,990,11925,#929110
alternative americana,569,7176,#789223
alternative ccm,471,8815,#799623
alternative country,569,7116,#808d19
alternative dance,760,17011,#b4814f
alternative emo,320,13311,#c66b15
alternative hardcore,489,11619,#c5683c
alternative hip hop,1014,10718,#b07520
alternative metal,309,13771,#d45c2d
alternative metalcore,324,14178,#d55e25
alternative pop,383,9900,#ac7334
alternative pop rock,478,14374,#a88604
alternative r&b,878,11826,#87921a
alternative rock,403,10405,#b46f35
alternative roots rock,457,9336,#a77d1c
amapiano,1366,18744,#a29d78
ambeat,1003,15179,#a1876d
ambient,305,7215,#5593c5
ambient black metal,33,8808,#9360c3
ambient dub techno,1018,17000,#9190d0
ambient folk,446,5344,#51a143
ambient fusion,895,15634,#988c8d
ambient house,909,16911,#a388ae
ambient idm,624,12967,#8d8fb1
ambient industrial,322,7991,#7a6cb1
ambient pop,367,8004,#6a948f
ambient psychill,716,16555,#a097c5
ambient techno,851,15558,#958bc4
ambient trance,697,16139,#9c8bc1
ambient worship,261,7642,#5a9e95
american 21st century classical,316,1583,#2a9f7e
american choir,163,701,#299146
american classical piano,536,440,#21a1d6
american contemporary classical,397,1413,#209e98
american early music,295,1056,#1da333
american folk revival,903,2791,#459713
american grindcore,141,9576,#e21f8f
american melodeath,168,13906,#ec435c
american metalcore,215,14794,#e64c28
american modern classical,522,1439,#339a8d
american oi,361,11534,#e2501d
american orchestra,237,1957,#3292a2
american post-rock,309,9575,#8690c1
american primitive,602,4434,#59a2c0
american romanticism,480,1527,#3892a6
american shoegaze,161,12184,#ad7494
amharic pop,887,13691,#ad8508
anadolu rock,591,8028,#8e8422
anarcho-punk,413,9324,#c45731
ancient mediterranean,821,3145,#38a995
andalusian classical,554,4105,#579a17
andean flute,736,8536,#829859
anglican liturgy,136,775,#1da16b
animal singing,1007,9442,#729354
anime,409,15103,#be7727
anime cv,461,17594,#e06b17
anime game,399,13661,#a7816e
anime latino,429,15988,#c7782c
anime rock,399,16443,#d36e13
anime score,419,8980,#758f98
ann arbor indie,564,9771,#8b8b20
anthem,446,4864,#5191b9
anthem emo,292,15191,#cb690f
anthem worship,326,12306,#948d10
anti-folk,586,7239,#878628
antideutsche,763,14101,#c07414
antilliaanse folklore,1013,9015,#948b2a
antilliaanse rap,1106,13434,#a68d0a
antiviral pop,855,14534,#ab802d
apostolic worship,425,9263,#988606
appalachian folk,980,3119,#519624
appenzeller folk,491,5931,#77a640
arab alternative,736,10609,#849428
arab electronic,1158,18139,#b28faa
arab experimental,467,7030,#718e95
arab folk,564,3170,#55995e
arab groove,843,9863,#8d8a2f
arab metal,168,13979,#db5356
arab pop,748,11975,#a78009
arab trap,760,16797,#b69161
arabesk,639,8248,#988608
arabic hip hop,1022,13112,#ae850f
arabic jazz,736,5716,#669788
argentine alternative rock,484,13808,#ac811c
argentine ambient,373,6031,#4b97b2
argentine hardcore,355,9771,#d75523
argentine heavy metal,288,12159,#d46220
argentine hip hop,1109,12594,#a38e09
argentine indie,624,11337,#97882a
argentine indie rock,369,12270,#b17e34
argentine jazz,862,4043,#539a97
argentine metal,292,11619,#db5d26
argentine punk,347,11691,#d65f19
argentine reggae,1031,15027,#a58b13
argentine rock,636,11350,#a98015
argentine telepop,697,13804,#a68d08
arizona punk,338,12245,#e0552c
arkansas country,943,5656,#708707
arkansas hip hop,1102,14573,#969503
arkansas indie,522,8965,#92881b
arkansas metal,197,11106,#cd5957
armenian folk,664,9188,#938b30
armenian hip hop,1018,12463,#aa860a
armenian pop,795,13183,#b08208
arpa grande,947,8826,#a68808
arpa paraguaya,903,5692,#81944d
ars subtilior,192,389,#17b14d
art pop,520,9460,#848c4d
art punk,536,11067,#ba623c
art rock,513,8779,#987a35
art song,407,505,#1e9d19
asakaa,1120,12885,#ad8c08
asbury park indie,497,10206,#a37c22
asheville indie,703,10069,#908a3c
asian american hip hop,1039,14904,#a88a09
asmr,467,5673,#700087
assamese pop,758,8954,#a18a09
assyrian pop,739,13642,#ae8303
athens indie,411,9997,#aa7c34
atl hip hop,1052,15825,#a38c04
atl trap,1135,15912,#939905
atlanta indie,415,10919,#ac7a3d
atlanta metal,206,14178,#e44e43
atlanta punk,299,11829,#d7582b
atmosphere,19,2374,#2aacd7
atmospheric black metal,55,10663,#be4eb0
atmospheric dnb,891,17340,#bc85b1
atmospheric doom,145,9938,#a1777f
atmospheric post-metal,201,9662,#a874a1
atmospheric post-rock,278,9427,#8991bb
atmospheric sludge,213,10491,#b271a4
auckland indie,457,12526,#a2822d
audiophile vocal,788,4561,#45a109
aussie drill,1211,13210,#a18c04
aussie emo,299,12846,#c5720c
aussietronica,880,16847,#b18b44
austin americana,683,8765,#858d0b
austin hip hop,1016,11664,#919107
austin rock,367,12086,#c06e3e
austin singer-songwriter,639,8040,#7a920b
austindie,489,11216,#a38133
australian alternative pop,674,13151,#918f18
australian alternative rock,442,10982,#b1771d
australian ambient,367,6723,#5592c6
australian americana,677,8487,#7a9607
australian black metal,34,10060,#c342a5
australian blues,779,8322,#8d8620
australian children's music,1060,8826,#798d0c
australian choir,177,640,#249e41
australian classical,363,921,#219fa2
australian classical piano,502,615,#1ca3c2
australian comedy,993,5916,#a0620c
australian country,724,10675,#948e04
australian dance,843,17402,#c17e3d
australian death metal,148,11781,#e14880
australian electropop,758,16342,#af8a2e
australian experimental,322,7227,#6c87a9
australian garage punk,305,11595,#cb6534
australian hardcore,292,10651,#e14e44
australian hip hop,1007,14394,#b38209
australian house,1192,18473,#c68166
australian indie,517,13213,#ab821e
australian indie folk,643,8740,#77961a
australian indie rock,425,13016,#ae802b
australian indigenous,689,10145,#8b8f0e
australian jazz,774,4030,#4e997f
australian metal,179,12834,#d94f59
australian metalcore,197,15457,#e85023
australian pop,643,13585,#a7860f
australian post-hardcore,186,16291,#e75420
australian post-punk,328,10292,#b26851
australian post-rock,295,9189,#8190b9
australian psych,275,10858,#c46e45
australian r&b,843,13940,#9a8812
australian reggae fusion,843,11765,#9e8a1f
australian rock,574,11030,#ab7b11
australian rockabilly,660,9200,#be6e12
australian shoegaze,152,11829,#aa7e93
australian singer-songwriter,550,6732,#70981c
australian ska,719,12650,#c76d14
australian talent show,607,12098,#a48605
australian techno,1194,18693,#b98cc7
australian thrash metal,263,11130,#e64a4b
australian trap,1035,12774,#aa8804
australian underground hip hop,1011,12300,#b47d10
austrian black metal,99,11595,#d94181
austrian choir,265,812,#2e9a29
austrian classical piano,579,301,#21a1cf
austrian contemporary classical,395,2084,#2f885b
austrian dnb,957,17943,#d7848c
austrian hip hop,970,11347,#ae8019
austrian indie,734,11889,#869424
austrian jazz,843,4864,#599877
austrian metal,204,13784,#d75846
austrian orchestra,361,1153,#359482
austrian pop,753,14262,#9a8f24
austrian punk,330,14720,#df5d1b
austrian stoner rock,307,11314,#b6725d
austrian techno,1229,19111,#be8ecf
austro-german modernism,371,627,#1e9b6b
austropop,872,9912,#8f810a
auteur-compositeur-interprete quebecois,724,6522,#6f9410
autoharp,711,5905,#6e9728
autonomous black metal,72,9913,#b451a7
avant-garde,377,1389,#27957e
avant-garde black metal,127,10823,#c5507a
avant-garde jazz,758,3500,#538f60
avant-garde metal,226,10231,#bf5d6f
avant-rock,465,8077,#9a6f74
axe,880,12169,#bf7c03
azeri pop,779,11802,#a3870b
azeri rap,1020,11322,#9b8b08
azeri traditional,650,5630,#719443
azonto,1106,14294,#be8209
azontobeats,1009,11590,#c28307
bachata,1172,13024,#a79204
bachata dominicana,1229,13197,#a59305
background jazz,836,2108,#3ba6b8
background music,166,2134,#26a3d3
background piano,467,1389,#16ace3
backing track,990,16746,#8993bd
baglama,716,5294,#6f9820
bagpipe,193,7341,#887c89
bagpipe marching band,324,6360,#69848f
bahai,1014,13659,#a28813
bahamian folk,1136,3069,#578f3c
bahamian pop,1060,15507,#b47e28
baiao,847,6828,#928429
baithak gana,858,11642,#b07f14
baja indie,604,12931,#9e825c
bajki,596,4245,#438f5f
bakersfield sound,836,7139,#7a8817
bal-musette,1031,6388,#7f8c81
balafon,1091,5782,#7f9671
balalaika,711,3650,#619187
balearic,1035,17967,#ae8c99
balfolk,536,6904,#759a38
balinese traditional,713,5321,#709996
balkan beats,1014,16089,#b28248
balkan brass,862,11153,#a0844d
balkan classical piano,480,505,#22a4cf
balkan folk metal,224,12442,#cd625f
balkan hip hop,1067,11925,#bb7a0d
balkan trap,1060,15673,#9f9707
ballet class,1016,3701,#3baaca
ballroom,561,6313,#6d938b
baltic black metal,108,11854,#d24a78
baltic choir,93,389,#1e9c36
baltic classical,219,750,#19a37d
baltic classical piano,508,136,#17a9d4
baltic folk,680,9300,#73974c
baltic post-punk,520,14914,#ae8246
baltimore hip hop,1095,14511,#9e9103
